Date,Region,Magnitude,Depth,Latitude,Longitude
05/11/2023,"Hindu Kush Region,Afghanistan",4.5,80,36.62,67.78
23/03/2023,18 Km NW of Bhalwal,4.2,6,32.35,72.74
26/11/2023,Tajikistan,4.3,140,37.5,72.23
10/06/2023,Afghanistan-Tajikistan Border Region,3.9,110,36.17,71.29
19/12/2023,Afghanistan-Tajikistan Border Region,3.7,105,36.58,71.01
23/02/2023,Tajikistan,4.7,141,38.19,72.96
22/03/2023,Tajikistan,4.0,140,37.42,72.14
01/09/2023,Tajikistan-Xinjiang Border Region,4.6,104,38.7,73.31
30/04/2023,Mayanmar,4.9,116,22.92,94.49
15/12/2023,Tajikistan-Xinjiang Border Region,3.9,170,38.38,74.45
03/09/2023,Afghanistan-Tajikistan Border Region.,5.0,120,36.59,71.63
22/03/2023,"Hindu Kush Region,Afghanistan",3.9,110,36.56,70.98
01/04/2023,Nepal,4.5,10,28.08,85.96
07/11/2023,Solomon Island,5.2,63,-8.2,160.96
10/08/2023,"Hindu Kush Region,Afghanistan",3.2,97,36.22,69.42
29/03/2023,Afghanistan-Tajikistan Border Region,3.5,157,36.82,71.34
07/10/2023,"Eastern New Guinea Region, P.N.G",4.8,139,-5.75,146.09
12/11/2023,"New Ireland Region, P.N.G",5.0,10,-3.88,150.76
26/10/2023,West of  Macquarie  Island,5.6,5,-58.88,148.92
14/10/2023,"Southeast of Honshu, Japan",4.6,48,30.71,141.83
11/05/2023,Afghanistan-Tajikistan Border Region,4.2,171,36.51,71.05
09/03/2023,"Hindu Kush Region,Afghanistan",3.6,122,36.55,70.17
23/10/2023,Taiwan Region,5.6,10,24.21,122.62
02/12/2023,Near Coast of Northern Chile,5.4,44,-24.52,-70.32
10/06/2023,Afghanistan-Tajikistan Border Region,4.0,206,36.5,71.26
17/10/2023,Southern Iran,5.5,30,27.67,56.14
13/05/2023,Southeastern Afghanistan,3.7,150,34.12,68.62
01/11/2023,Tajikistan-Xinjiang Border Region,4.5,45,37.27,74.85
21/10/2023,"Hindu Kush Region,Afghanistan",2.7,130,36.51,70.97
16/10/2023,"Hindu Kush Region,Afghanistan",3.3,120,36.63,70.93
10/11/2023,Iran-Iraq Border Region,4.8,2,32.85,47.66
05/08/2023,8km SothWest of Batgram,5.5,22,34.62,72.97
23/03/2023,Turkey,5.2,10,37.99,36.25
07/11/2023,"New Britain Region, P.N.G.",5.0,123,-4.42,152.95
07/08/2023,Afghanistan-Tajikistan Border Region,4.8,130,36.64,71.55
20/06/2023,"Hindu Kush Region,Afghanistan",3.9,150,36.02,70.6
04/07/2023,"Hindu Kush Region,Afghanistan",3.9,120,36.62,70.53
04/10/2023,Vanuatu Islands,5.4,85,-20.66,169.47
15/04/2023,South of Indian Ocean,4.9,10,34.03,56.47
13/04/2023,Afghanistan-Tajikistan Border Region,3.7,75,36.68,71.48
30/09/2023,Afghanistan-Tajikistan Border Region,4.5,198,36.71,71.26
29/05/2023,"Hindu Kush Region,Afghanistan",4.4,185,35.36,69.16
28/10/2023,Solomon Islands,5.6,10,-10.22,161.16
18/10/2023,Turkey,4.4,157,37.42,27.44
05/11/2023,"Southern Sumatra, Indonesia",4.6,47,-5.26,102.43
29/06/2023,Afghanistan-Tajikistan Border Region,5.4,171,37.19,71.86
25/10/2023,Solomon Island,4.5,169,-10.76,158.75
24/12/2023,Southeastern Afghanistan,3.6,153,34.27,70.97
23/10/2023,Fiji Islands Region,5.9,320,-15.09,-176.12
09/11/2023,Banda Sea,5.2,10,-5.49,130.32
08/11/2023,Western Texas,5.4,5,31.6,-103.87
14/11/2023,"New Ireland Region, P.N.G",5.2,10,-3.86,150.93
23/12/2023,Northwestern Iran,4.5,10,37.95,46.66
06/10/2023,Kuril Islands,4.8,128,48.0,152.68
16/03/2023,Turkey Iran Border Region,5.0,61,38.54,44.98
14/12/2023,"Java, Indonesia",5.0,107,-7.05,106.21
14/11/2023,"New Britain Region, P.N.G.",5.6,10,-5.97,148.17
07/12/2023,"Hindu Kush Region, Afghanistan",3.5,126,36.48,70.47
18/11/2023,84 KM Northwest of Gilgit,3.3,45,36.28,73.48
01/03/2023,"Southern Xinjiang, China",3.4,75,38.23,76.46
14/07/2023,Afghanistan-Tajikistan Border Region,5.1,160,36.17,71.56
16/10/2023,"25 Km Southwest of Talagang, Punjab",4.0,11,32.82,72.09
02/12/2023,"Mindanao, Philippines",6.0,50,8.37,126.9
08/11/2023,"Southwest of Sumatra, Indonesia",4.7,10,-2.94,92.14
29/12/2023,Chagos Archipelago Region,4.5,83,-7.21,68.02
19/12/2023,Solomon Islands,5.5,84,-6.81,155.2
28/11/2023,Afghanistan-Tajikistan Border Region,4.2,240,37.24,70.94
23/12/2023,Banda Sea,4.8,10,-6.34,129.68
20/04/2023,Afghanistan-Tajikistan Border Region,3.5,238,36.72,72.05
21/12/2023,"Near East Coast of Honshu, Japan",4.8,59,35.39,140.87
14/11/2023,"New Britain Region, P.N.G.",4.9,10,-4.19,150.67
14/10/2023,Afghanistan-Tajikistan Border Region,4.3,119,37.59,71.92
10/07/2023,Kashmir-India Border Region,5.3,19,32.98,75.86
26/12/2023,Southeast of Honshu Japan,4.9,426,30.39,138.58
16/11/2023,"Hindu Kush Region, Afghanistan",3.9,124,36.66,70.43
23/10/2023,"Halmahera,Indonesia",4.8,10,1.16,127.97
27/05/2023,"Hindu Kush Region,Afghanistan",3.5,163,36.39,70.47
20/12/2023,Afghanistan-Tajikistan Border Region,3.7,101,36.28,71.25
31/05/2023,"Hindu Kush Region,Afghanistan",3.9,150,36.31,69.84
25/03/2023,63 Km NW of Usta Muhammad,4.6,45,28.37,67.4
17/02/2023,Afghanistan-Tajikistan Border Region,3.9,139,37.33,71.65
09/04/2023,63 Km West of Zhob,3.2,26,31.29,68.78
08/10/2023,Afghanistan-Tajikistan Border Region,3.9,149,36.09,71.55
18/05/2023,Afghanistan-Tajikistan Border Region,4.6,119,37.37,71.95
14/05/2023,Afghanistan-Tajikistan Border Region,4.1,129,37.18,71.95
01/11/2023,Afghanistan - Tajikistan Border Region,3.7,120,36.03,71.25
22/09/2023,Afghanistan-Tajikistan Border Region,4.4,123,36.0,71.79
03/12/2023,Philippine Islands Region,5.1,62,8.41,127.01
30/04/2023,"Hindu Kush Region,Afghanistan",4.3,115,36.6,70.6
07/10/2023,Afghanistan-Tajikistan Border Region.,3.7,80,36.81,72.97
16/06/2023,India-Bangladesh Border Region,4.9,19,25.72,91.33
08/11/2023,Banda Sea,5.6,130,-5.76,130.1
04/11/2023,Tajikistan,4.8,18,37.99,73.84
09/10/2023,Northwestern Afghanistan,5.2,5,34.57,61.99
28/11/2023,"Hindu Kush Region,Afghanistan",3.7,129,36.26,70.18
14/07/2023,Southwestern Kashmir,2.6,8,34.03,74.17
11/05/2023,"Sichuan, China",5.0,14,29.59,101.98
15/05/2023,Tajikistan,3.5,120,37.38,72.12
01/12/2023,Afghanistan-Tajikistan Border Region,3.1,90,36.89,72.71
11/12/2023,Reykjanes Ridge,4.8,10,56.94,-34.62
13/10/2023,Afghanistan-Tajikistan Border Region,3.5,40,37.4,71.95
03/12/2023,"Mindanao, Philippines",5.8,11,8.81,126.97
21/11/2023,94 km NW of chilas,3.0,36,35.84,73.19
30/10/2023,"Southern Xinjiang, China",4.1,10,40.448,84.801
10/10/2023,"Hindu Kush Region,Afghanistan",4.0,207,36.5,70.18
07/10/2023,"Eastern New Guinea Region, P.N.G",5.1,10,-5.54,146.21
09/06/2023,"Hindu Kush Region,Afghanistan",3.1,162,36.12,69.64
09/10/2023,Tajikistan - Xinjiang Border Region,4.4,29,37.67,74.66
27/12/2023,Tajikistan-Xinjiang Border Region,3.7,150,38.7,73.52
12/12/2023,Philippine Islands Region,4.9,35,8.93,127.22
23/12/2023,Near East Coast of Kamchatka,5.7,58,52.08,158.92
16/03/2023,Kashmir-India Border Region,4.2,41,32.96,76.13
23/05/2023,Afghanistan-Tajikistan Border Region,4.7,85,36.41,71.29
14/09/2023,Tajikistan,4.0,169,37.56,73.33
15/10/2023,"Hindu Kush Region,Afghanistan",4.2,110,36.1,70.84
07/10/2023,Eastern Turkey,4.4,12,38.31,38.16
24/12/2023,Tajikistan-Xinjiang Border Region,3.5,90,38.12,74.01
18/11/2023,Afghanistan-Tajikistan Border Region,3.8,120,36.77,71.14
27/03/2023,Tajikistan-Xinjiang Border Region,3.6,90,38.28,73.77
21/01/2023,"Hindu Kush Region,Afghanistan",4.4,110,36.37,70.37
05/12/2023,"Nicobar Islands, India Region",4.7,13,29.36,93.72
30/12/2023,South Sandwich Islands Region,5.7,5,-54.54,-23.24
22/12/2023,Afghanistan-Tajikistan Border Region,3.9,120,36.94,71.08
21/05/2023,Afghanistan-Tajikistan Border Region,4.5,100,37.33,71.87
17/07/2023,Afghanistan-Tajikistan Border Region,4.4,143,36.71,71.27
20/10/2023,Southeastern Afghanistan,3.8,112,34.42,68.6
08/11/2023,Near North  Coast of Irian Jaya,4.6,64,-1.96,138.88
25/02/2023,Tajikistan-Xinjiang Border Region,4.1,110,38.15,73.61
06/05/2023,Afghanistan-Tajikistan Border Region,4.1,123,36.38,71.33
21/12/2023,Tajikistan,3.5,285,37.59,73.6
07/11/2023,30km South East of Skardu,3.0,38,35.08,75.85
06/08/2023,"Hindu Kush Region,Afghanistan",6.1,143,36.62,70.93
16/07/2023,Afghanistan-Tajikistan Border Region,3.8,77,36.87,71.98
06/06/2023,110 Km NW of Shahdadkot,4.2,7,38.35,66.9
12/12/2023,Tonga Islands,5.7,267,-17.96,-175.45
22/01/2023,"Hindu Kush Region,Afghanistan",4.9,127,36.54,70.45
26/03/2023,"Hindu Kush Region,Afghanistan",4.3,171,36.37,70.48
10/08/2023,Afghanistan-Tajikistan Border Region,2.9,189,36.59,71.1
15/03/2023,Afghanistan-Tajikistan Border Region,3.2,241,36.44,72.3
24/02/2023,Tajikistan-Xinjiang Border Region,4.4,184,38.22,73.06
28/05/2023,Afghanistan-Tajikistan Border Region,4.4,139,36.34,71.67
03/11/2023,Near Coast of Central Chile,5.0,35,-30.13,-71.97
08/11/2023,Banda Sea,5.1,10,-16.03,129.9
29/10/2023,Afghanistan-Tajikistan Border Region.,3.9,55,37.36,71.88
18/08/2023,Southern Iran,4.8,10,27.88,53.93
27/12/2023,Tajikistan-Xinjiang Border Region,3.6,129,38.69,74.02
28/10/2023,Eastern Kashmir,3.6,21,35.82,75.52
31/08/2023,TajikistanXinjiang Border Region,5.4,44,38.13,73.33
02/09/2023,"40km South of Chamman, Balochistan",3.3,56,30.59,66.35
26/11/2023,Vanuatu Islands,5.2,57,-21.22,173.84
14/11/2023,"New Britain Region, P.N.G.",5.3,10,-4.1,150.92
22/12/2023,Afghanistan-Tajikistan Border Region,4.2,45,36.46,70.69
11/03/2023,"Hindu Kush Region,Afghanistan",5.2,203,36.35,70.47
27/05/2023,13 Km SW of Saidu sharif,3.0,4,34.66,72.3
14/12/2023,Mariana Islands,5.1,10,19.8,145.51
15/06/2023,Tajikistan-Xinjiang Border Region,3.4,135,38.23,74.14
03/11/2023,Nepal,6.0,30,28.92,82.1
09/01/2023,Afghanistan-Tajikistan Border Region.,4.5,180,36.64,71.26
02/05/2023,Afghanistan-Tajikistan Border Region,4.3,23,37.26,70.65
31/10/2023,"Minahassa Peninsula, Sulawesi",5.1,126,-0.01,123.83
16/09/2023,Tajikistan,4.2,234,38.81,72.12
27/02/2023,"Southern Xinjiang, China",4.5,58,39.6,74.07
26/03/2023,Afghanistan-Tajikistan Border Region,3.9,170,37.2,71.66
03/12/2023,"Mindanao, Philippines",5.5,38,8.79,126.97
02/06/2023,Afghanistan-Tajikistan Border Region,3.9,140,37.87,71.74
31/12/2023,Northern India,4.5,12,25.44,85.31
12/07/2023,22km NE of Besham,3.0,75,35.12,72.8
23/12/2023,"New Britain Region, P.N.G.",5.2,325,-4.68,150.68
30/10/2023,Komandorskiye  Ostrova Region,4.7,18,56.08,164.38
14/05/2023,Southeastern Afghanistan,4.5,188,33.53,69.23
11/03/2023,Tajikistan-Xinjiang Border Region,4.0,180,38.17,73.86
22/05/2023,Myanmar,4.7,11,26.24,97.88
15/11/2023,Afghanistan-Tajikistan Border Region,4.4,110,37.26,71.99
04/01/2023,27 KM Northwest of Chilas,2.5,18,35.65,73.99
03/11/2023,Afghanistan-Tajikistan Border Region,4.3,82,37.07,71.72
24/11/2023,Kashmir-India Border Region,3.7,40,32.73,76.15
07/12/2023,"Mindanao, Philippines",5.1,66,8.78,126.74
22/09/2023,TajikistanXinjiang Border Region,4.4,250,38.23,73.21
10/06/2023,Tajikistan,3.3,112,37.1,72.58
14/09/2023,Afghanistan-Tajikistan Border Region.,4.7,221,36.46,71.14
14/10/2023,Tajikistan-Xinjiang Border Region,3.7,132,37.84,74.04
08/11/2023,Banda Sea,5.1,10,-5.95,130.22
13/03/2023,Eastern Kashmir,4.1,25,35.19,78.92
02/12/2023,Philippines Islands Region,5.1,45,10.69,126.15
05/08/2023,8km NorthWest of Balakot,5.0,63,34.59,73.27
01/11/2023,Northern and Central Iran,4.7,10,31.98,59.85
28/04/2023,Northwestern Kashmir,3.7,16,36.44,73.68
02/05/2023,Afghanistan-Tajikistan Border Region,3.2,172,37.24,69.52
02/12/2023,"Mindanao, Philippines",5.2,54,8.26,126.83
29/12/2023,Chagos Archipelago Region,4.5,4,-7.05,68.04
13/10/2023,South of Fiji islands,5.6,538,-23.56,-179.97
19/06/2023,Eastern Kashmir,3.8,30,38.86,77.42
15/12/2023,32 Km West of Mastung,3.9,18,29.8,66.51
13/06/2023,"Southern Xinjiang, China",4.8,14,41.82,80.9
12/10/2023,Kuril Islands,5.0,36,44.22,148.52
14/03/2023,"Hindu Kush Region,Afghanistan",3.2,166,36.52,70.36
15/07/2023,Tajikistan,4.5,172,37.47,72.19
25/06/2023,55 Km SE of Kharan,4.2,32,28.39,65.99
08/09/2023,Afghanistan-Tajikistan Border Region,3.8,144,37.08,71.82
02/12/2023,"Mindanao, Philippines",5.0,60,8.69,124.82
27/12/2023,"Hindu Kush Region, Afghanistan",3.4,120,36.59,70.64
03/11/2023,Afghanistan-Tajikistan Border Region,3.9,120,36.55,71.29
01/09/2023,"Hindu Kush Region,Afghanistan",4.1,100,35.43,69.52
27/04/2023,Southwestern Kashmir,4.5,10,27.89,55.26
22/03/2023,Tajikistan,6.2,58,39.63,68.85
18/06/2023,"Southern Xinjiang, China",4.5,11,38.76,76.98
10/10/2023,Afghanistan-Tajikistan Border Region,3.6,139,38.79,71.79
16/10/2023,"Andreanof Islands, Aleutian Islands",6.3,215,52.61,-176.91
18/02/2023,Afghanistan-Tajikistan Border Region,3.8,228,36.34,71.26
05/12/2023,Hawaii,4.7,19,19.9,-155.32
05/09/2023,"Hindu Kush Region,Afghanistan",4.5,175,35.89,69.46
22/12/2023,"Halmahera, Indonesia",5.3,73,2.65,128.22
23/02/2023,Tajikistan-Xinjiang Border Region,3.7,159,38.35,73.73
10/02/2023,Afghanistan-Tajikistan Border Region,3.7,176,36.61,71.09
12/11/2023,Tonga Islands,5.1,192,-18.18,-175.37
26/11/2023,"Halmahera, Indonesia",4.8,142,1.36,128.14
16/03/2023,Turkey,4.6,10,40.72,31.43
25/12/2023,Tajikistan,4.4,114,37.82,73.02
08/06/2023,Afghanistan-Tajikistan Border Region,4.4,187,36.62,71.05
07/12/2023,"Central,Mexico",5.8,58,18.38,-98.59
03/06/2023,"Hindu Kush Region,Afghanistan",3.5,85,35.95,69.48
20/10/2023,"Seram, Indonesia",4.7,26,-2.87,130.01
29/01/2023,"Southern Xinjiang, China",6.0,78,39.99,82.2
26/03/2023,"Hindu Kush Region,Afghanistan",3.7,129,36.66,70.27
01/03/2023,"Southern Xinjiang, China",3.9,80,37.41,76.78
07/05/2023,Tajikistan-Xinjiang Border Region,4.3,196,37.79,75.66
09/12/2023,Reykjanes Ridge,4.5,100,56.53,-34.13
07/12/2023,Philippine Islands Region,5.3,10,8.9,127.04
13/07/2023,Afghanistan-Tajikistan Border Region,5.0,217,36.51,71.35
25/11/2023,Panama,4.8,14,7.33,-80.05
04/02/2023,Afghanistan-Tajikistan Border Region,4.5,203,36.52,71.14
20/11/2023,Tyrrhenian Sea,4.9,413,39.79,13.62
04/01/2023,India-Pakistan border Region,4.6,13,31.8,74.4
13/12/2023,"Southern Xinjiang, China",4.3,153,37.96,76.66
02/12/2023,Philippine Islands Region,6.1,20,8.71,126.92
19/06/2023,Northwestern Kashmir,2.9,11,35.21,74.08
30/09/2023,Eastern Kashmir,3.9,35,34.53,76.56
14/02/2023,Afghanistan-Tajikistan Border Region,3.9,134,36.52,71.25
26/11/2023,Afghanistan-Tajikistan Border Region,3.1,110,36.47,71.15
05/12/2023,"Halmahera, Indonesia",5.3,64,2.6,128.3
23/07/2023,Afghanistan-Tajikistan Border Region,5.4,171,36.52,71.04
08/09/2023,Tajikistan-Xinjiang Border Region,4.2,199,38.16,73.19
15/10/2023,Off Coast of Central Amercia,4.6,18,12.71,-88.55
13/12/2023,"Hidu Kush Region, Afghanistan",3.4,254,36.92,68.92
12/10/2023,Soloman Island,4.9,10,-6.51,155.34
11/05/2023,Afghanistan-Tajikistan Border Region,3.8,120,36.99,71.89
27/05/2023,Afghanistan-Tajikistan Border Region,3.5,162,36.85,71.64
07/12/2023,Vanuatu Islands,6.8,67,-20.66,169.32
04/01/2023,India-Pakistan border Region,4.2,21,30.35,73.79
